run_id;layer_id;layer_name;model;nr_images;normalize;train_score;val_score
resnet_none_8100_25082019-200322;37;add_2;resnet;8100;none;1.0;0.8765432098765432
resnet_none_8100_25082019-200322;124;bn4e_branch2a;resnet;8100;none;1.0;1.0
resnet_none_8100_25082019-200322;99;res4b_branch2c;resnet;8100;none;1.0;0.9876543209876544
resnet_none_8100_25082019-200322;6;max_pooling2d;resnet;8100;none;1.0;0.4691358024691358
resnet_none_8100_25082019-200322;117;bn4d_branch2b;resnet;8100;none;1.0;0.8395061728395061
resnet_none_8100_25082019-200322;46;res3a_branch1;resnet;8100;none;1.0;0.9135802469135802
resnet_none_8100_26082019-053221;17;add;resnet;8100;none;1.0;0.7777777777777778
resnet_none_8100_26082019-053221;49;add_3;resnet;8100;none;1.0;0.9382716049382716
resnet_none_8100_26082019-053221;35;res2c_branch2c;resnet;8100;none;1.0;0.5185185185185185
resnet_none_8100_26082019-053221;4;activation;resnet;8100;none;1.0;0.2716049382716049
resnet_none_8100_26082019-053221;147;bn5a_branch2b;resnet;8100;none;1.0;0.8148148148148148
resnet_none_8100_26082019-053221;48;bn3a_branch1;resnet;8100;none;1.0;0.925925925925926
resnet_none_8100_26082019-053221;61;res3c_branch2a;resnet;8100;none;1.0;0.9135802469135802
resnet_none_8100_26082019-053221;111;add_9;resnet;8100;none;1.0;1.0
resnet_none_8100_26082019-053221;28;activation_6;resnet;8100;none;1.0;0.7901234567901234
resnet_none_8100_26082019-053221;97;bn4b_branch2b;resnet;8100;none;1.0;0.9753086419753086
resnet_none_8100_26082019-053221;30;bn2c_branch2a;resnet;8100;none;1.0;0.5679012345679012
resnet_none_8100_26082019-053221;21;activation_4;resnet;8100;none;1.0;0.654320987654321
resnet_none_8100_26082019-053221;170;activation_47;resnet;8100;none;1.0;0.7654320987654321
resnet_none_8100_26082019-053221;27;add_1;resnet;8100;none;1.0;0.8024691358024691
resnet_none_8100_26082019-053221;8;bn2a_branch2a;resnet;8100;none;1.0;0.5185185185185185
resnet_none_8100_26082019-053221;51;res3b_branch2a;resnet;8100;none;1.0;0.7654320987654321
resnet_none_8100_26082019-053221;109;res4c_branch2c;resnet;8100;none;1.0;0.925925925925926
resnet_none_8100_26082019-053221;38;activation_9;resnet;8100;none;1.0;0.925925925925926
mobilenet_none_8100_26082019-070835;5;conv_dw_1;mobilenet;8100;none;1.0;0.3333333333333333
mobilenet_none_8100_26082019-070835;67;conv_pw_10_relu;mobilenet;8100;none;1.0;0.654320987654321
mobilenet_none_8100_26082019-070835;78;conv_pw_12;mobilenet;8100;none;0.9996296296296296;0.5432098765432098
